Episodio,Score,Passos
382,90.0,86
383,6.0,16
384,152.0,160
385,47.0,53
386,31.5,51
387,50.5,56
388,-7.0,13
389,54.5,76
390,-5.0,19
391,28.5,72
392,30.0,77
393,46.0,51
394,23.5,40
395,-4.0,13
396,15.0,21
397,24.0,31
398,28.5,68
399,81.0,125
400,118.5,117
401,6.0,18
402,30.5,35
403,83.0,113
404,12.5,39
405,21.5,38
406,26.0,49
407,4.5,15
408,35.0,60
409,21.0,35
410,17.5,24
411,96.0,118
412,62.0,76
413,17.5,24
414,45.5,46
415,22.5,58
416,5.5,17
417,-7.5,12
418,-6.0,9
419,165.0,167
420,68.0,92
421,67.0,76
422,25.5,54
423,-5.5,12
424,90.5,159
425,15.5,30
426,58.0,70
427,26.0,43
428,22.5,42
429,3.0,12
430,-6.5,26
431,3.5,13
432,70.0,61
433,-6.5,14
434,59.0,101
435,46.5,62
436,28.5,50
437,64.0,98
438,-6.5,8
439,31.5,33
440,11.5,18
441,40.0,82
442,58.0,58
443,109.0,141
444,25.5,48
445,30.5,45
446,36.5,59
447,4.0,14
448,90.0,117
449,33.5,51
450,31.0,34
451,51.5,58
452,51.5,72
453,-6.5,12
454,39.5,55
455,56.5,80
456,23.0,35
457,120.0,126
458,-3.5,18
459,56.5,57
460,40.5,55
461,7.0,20
462,123.5,106
463,4.0,10
464,35.0,56
465,65.0,90
466,50.5,95
467,20.5,44
468,-3.5,14
469,48.0,55
470,88.0,74
471,89.0,100
472,5.5,15
473,9.0,28
474,94.0,116
475,138.5,172
476,81.0,105
477,233.0,238
478,85.0,88
479,50.0,63
480,171.5,188
481,36.5,53
482,35.0,44
483,86.0,113
484,28.5,56
485,17.0,29
486,30.0,34
487,5.5,17
488,113.5,118
489,133.0,134
490,29.0,75
491,25.0,39
492,23.5,54
493,68.0,84
494,55.5,72
495,50.0,59
496,72.5,72
497,28.0,40
498,22.0,35
499,8.0,24
500,44.0,80
501,94.0,112
502,198.5,210
503,93.5,129
504,113.0,100
505,13.5,14
506,5.0,18
507,39.5,55
508,105.5,104
509,-5.5,16
510,3.0,14
511,63.5,75
512,37.0,58
513,66.0,80
514,83.5,131
515,115.5,136
516,120.0,147
517,76.0,73
518,99.0,104
519,223.5,185
520,11.5,31
521,41.0,58
522,15.0,13
523,8.5,21
524,43.0,60
525,59.5,61
526,83.5,75
527,55.5,51
528,-5.5,16
529,8.5,21
530,132.5,143
531,161.5,182
532,101.5,130
533,100.5,127
534,2.0,12
535,23.0,39
536,44.0,74
537,108.5,102
538,49.0,61
539,24.0,31
540,6.5,19
541,161.5,153
542,86.0,91
543,-4.0,15
544,5.0,14
545,10.0,34
546,154.5,161
547,4.0,10
548,6.0,16
549,103.0,107
550,200.5,165
