Episodio,Score,Passos,Resultado,Pousou,Colisao,Timeout,VelocidadeAngularMedia,VelocidadeAngularMaxima,Epsilon,LossMedia
80,-142.2492,268,crash,0,1,0,0.182637,0.473719,0.984126,0.32177
81,-92.2573,185,crash,0,1,0,0.262551,0.652934,0.983929,0.504161
82,-132.2184,273,crash,0,1,0,0.277392,0.727047,0.983732,0.507643
83,-48.2744,278,crash,0,1,0,0.287573,0.640101,0.983535,0.353075
84,-76.3291,233,crash,0,1,0,0.371916,0.968766,0.983339,0.345008
85,-98.6945,341,crash,0,1,0,0.170705,0.488301,0.983142,0.411982
86,-66.2936,289,crash,0,1,0,0.451276,0.992752,0.982945,0.426633
87,-157.165,244,crash,0,1,0,0.384059,0.91962,0.982749,0.431484
88,-90.651,199,crash,0,1,0,0.317201,0.695796,0.982552,0.593859
89,-76.3774,313,crash,0,1,0,0.160231,0.579293,0.982356,0.277129
90,-127.7602,247,crash,0,1,0,0.310804,0.908398,0.982159,0.376173
91,-159.1445,214,crash,0,1,0,0.354099,0.741265,0.981963,0.374122
92,-134.6142,321,crash,0,1,0,0.196002,0.623653,0.981766,0.293308
93,-72.838,209,crash,0,1,0,0.240803,0.803789,0.98157,0.292449
94,-94.0695,200,crash,0,1,0,0.305795,0.74891,0.981374,0.426582
95,-103.4632,292,crash,0,1,0,0.148232,0.68241,0.981177,0.340318
96,-103.7175,278,crash,0,1,0,0.254073,0.721641,0.980981,0.374194
97,-92.0515,219,crash,0,1,0,0.250298,0.684804,0.980785,0.301428
98,-76.215,279,crash,0,1,0,0.272135,0.895108,0.980589,0.451906
99,-76.3001,263,crash,0,1,0,0.211335,0.615711,0.980393,0.539938
100,-143.108,222,crash,0,1,0,0.280902,0.927615,0.980197,0.49387
101,-80.1659,224,crash,0,1,0,0.300632,0.909542,0.980001,0.46703
102,-124.8338,294,crash,0,1,0,0.151698,0.461256,0.979805,0.411913
103,-131.6923,764,crash,0,1,0,0.177046,0.842573,0.979609,0.453702
104,-142.9622,290,crash,0,1,0,0.37058,1.439469,0.979413,0.564094
105,-128.1881,263,crash,0,1,0,0.29654,0.713898,0.979217,0.438034
106,-93.5608,232,crash,0,1,0,0.212871,0.566897,0.979021,0.41642
107,-137.1819,213,crash,0,1,0,0.581824,1.011793,0.978825,0.172902
108,-110.7882,252,crash,0,1,0,0.48787,1.202282,0.978629,0.348454
109,-79.2176,359,crash,0,1,0,0.235837,0.702963,0.978434,0.386652
110,-74.4113,202,crash,0,1,0,0.246988,0.714903,0.978238,0.477748
111,-77.5371,229,crash,0,1,0,0.395169,1.015604,0.978042,0.438306
112,-96.6809,257,crash,0,1,0,0.189655,0.612866,0.977847,0.500828
113,-145.8926,348,crash,0,1,0,0.336969,1.070247,0.977651,0.361961
114,-98.9251,229,crash,0,1,0,0.457428,0.868581,0.977456,0.215106
115,-94.203,247,crash,0,1,0,0.309083,0.837429,0.97726,0.278904
116,-91.0314,276,crash,0,1,0,0.165949,0.433778,0.977065,0.333036
117,-124.1546,245,crash,0,1,0,0.405654,0.974128,0.976869,0.443428
118,-97.0459,223,crash,0,1,0,0.310583,1.039848,0.976674,0.159346
119,-138.6206,300,crash,0,1,0,0.205292,0.510583,0.976479,0.507184
120,-105.6771,327,crash,0,1,0,0.246879,0.774062,0.976283,0.339644
121,-113.7588,278,crash,0,1,0,0.177653,0.613514,0.976088,0.626523
122,-112.0979,322,crash,0,1,0,0.318913,1.248917,0.975893,0.227585
123,-98.0594,219,crash,0,1,0,0.192471,0.525188,0.975698,0.311362
124,-100.4875,254,crash,0,1,0,0.272878,0.752631,0.975503,0.435658
125,-82.8472,277,crash,0,1,0,0.18196,0.578752,0.975307,0.354108
126,-114.8594,248,crash,0,1,0,0.261812,0.682227,0.975112,0.458364
127,-119.5406,254,crash,0,1,0,0.201533,0.508753,0.974917,0.415927
128,-80.9575,235,crash,0,1,0,0.422428,1.258601,0.974722,0.433171
129,-69.7453,221,crash,0,1,0,0.17745,0.451107,0.974527,0.375749
130,-95.2202,199,crash,0,1,0,0.12799,0.377783,0.974333,0.47452
131,-71.4074,243,crash,0,1,0,0.149931,0.416687,0.974138,0.518698
132,-87.9137,311,crash,0,1,0,0.205794,0.594435,0.973943,0.408068
133,-66.4876,306,crash,0,1,0,0.18923,0.725611,0.973748,0.267326
134,-163.7083,282,crash,0,1,0,0.215636,0.619188,0.973553,0.347429
135,-88.5787,317,crash,0,1,0,0.242554,0.685936,0.973359,0.481876
136,-88.5677,318,crash,0,1,0,0.356263,0.845285,0.973164,0.453727
137,-113.9807,264,crash,0,1,0,0.302846,0.922285,0.972969,0.38335
138,-139.665,208,crash,0,1,0,0.409609,0.890287,0.972775,0.39144
139,-130.8033,262,crash,0,1,0,0.304154,0.977417,0.97258,0.478248
140,-87.8363,220,crash,0,1,0,0.317388,0.933085,0.972386,0.330239
141,-87.3181,289,crash,0,1,0,0.221316,0.750074,0.972191,0.454692
142,-79.869,276,crash,0,1,0,0.18709,0.648691,0.971997,0.486915
143,-133.5608,224,crash,0,1,0,0.406129,1.07524,0.971802,0.281983
144,-146.5659,248,crash,0,1,0,0.263787,0.873849,0.971608,0.226689
145,-102.841,294,crash,0,1,0,0.232263,0.721329,0.971414,0.507244
146,-104.3114,279,crash,0,1,0,0.164825,0.610811,0.971219,0.508716
147,-95.4758,235,crash,0,1,0,0.251518,0.660737,0.971025,0.427195
148,-80.0488,235,crash,0,1,0,0.173399,0.540967,0.970831,0.406168
149,-123.8873,225,crash,0,1,0,0.209917,0.560684,0.970637,0.273431
150,-100.9141,247,crash,0,1,0,0.303677,0.739549,0.970443,0.328616
151,-99.7523,197,crash,0,1,0,0.309997,0.596583,0.970249,0.514633
152,-78.6333,353,crash,0,1,0,0.261731,0.626993,0.970054,0.456469
153,-111.8495,269,crash,0,1,0,0.311339,1.002399,0.96986,0.461534
154,-76.9041,209,crash,0,1,0,0.179977,0.465619,0.969667,0.381507
155,-147.6739,240,crash,0,1,0,0.283233,0.691794,0.969473,0.394802
156,-90.4294,209,crash,0,1,0,0.236997,0.529554,0.969279,0.478623
157,-116.2747,272,crash,0,1,0,0.155216,0.452572,0.969085,0.370973
158,-155.1581,377,crash,0,1,0,0.188716,0.643429,0.968891,0.432258
