Episodio,Score,Passos
464,0,125
465,0,125
466,0,125
467,0,70
468,0,125
469,2,284
470,0,125
471,0,139
472,0,125
473,0,125
474,1,204
475,1,204
476,0,125
477,1,204
478,0,125
479,0,125
480,0,125
481,0,125
482,0,65
483,0,125
484,0,125
485,0,129
486,0,125
487,0,125
488,0,112
489,0,110
490,0,125
491,0,125
492,0,131
493,0,137
494,0,125
495,0,125
496,2,284
497,0,125
498,0,125
499,0,126
500,0,125
501,0,125
502,0,128
503,1,204
504,0,125
505,0,137
506,0,125
507,0,125
508,2,292
509,0,125
510,0,125
511,1,204
512,0,125
513,0,125
514,0,125
515,0,125
516,0,125
517,1,208
518,0,125
519,1,171
520,0,125
521,0,125
522,0,79
523,0,125
524,0,125
525,1,204
526,0,125
527,0,106
528,0,125
529,1,200
530,0,112
531,0,125
532,0,140
533,0,125
534,0,125
535,0,125
536,0,125
537,0,125
538,0,141
539,0,134
540,0,125
541,0,125
542,0,125
543,0,125
544,0,125
545,0,125
546,0,125
547,0,109
548,0,127
549,0,125
550,0,125
551,0,125
552,0,125
553,0,125
554,0,125
555,0,125
556,0,59
557,0,71
558,0,125
559,0,125
560,0,125
561,0,125
562,0,125
563,0,125
564,0,125
565,0,129
566,0,125
567,0,125
568,0,125
569,0,125
570,0,125
571,0,125
572,0,125
573,0,125
574,0,125
575,0,125
576,0,97
577,0,125
578,0,125
579,0,125
580,0,125
581,0,78
582,0,75
583,0,84
584,1,204
585,0,125
586,0,125
587,0,131
588,0,125
589,0,125
590,1,208
591,0,125
592,0,125
593,0,125
594,0,133
595,3,364
596,1,204
597,1,204
598,0,125
599,0,125
600,0,125
601,0,125
602,0,125
603,0,33
604,0,125
605,0,125
606,0,125
607,0,45
608,0,125
609,0,125
610,0,125
611,0,125
612,0,125
613,0,125
614,0,125
615,0,125
616,0,33
617,0,125
618,1,204
619,0,125
620,0,134
621,1,204
622,0,141
623,0,125
624,0,125
625,0,142
626,0,125
627,0,33
628,0,93
629,0,74
630,0,136
631,0,130
632,0,69
633,0,125
634,0,125
635,0,55
636,1,204
637,1,204
638,0,125
639,0,56
640,0,125
641,0,128
642,0,33
643,0,33
644,0,33
645,0,125
646,0,71
647,0,125
648,0,125
649,1,204
650,1,204
651,0,125
652,0,106
653,0,96
654,1,219
655,0,137
656,0,65
657,0,125
658,0,125
659,0,125
660,0,125
661,0,101
662,0,129
663,0,125
664,0,125
665,0,133
666,0,33
667,1,204
668,0,112
669,0,125
670,0,125
671,0,125
672,0,33
673,0,125
674,0,76
675,0,125
676,0,125
677,0,134
678,0,125
679,0,130
680,0,140
681,0,130
682,0,125
683,0,103
684,0,125
685,0,127
686,0,125
687,0,135
688,0,126
689,0,108
690,0,125
691,0,125
692,0,125
693,0,125
694,0,137
695,3,364
696,0,125
697,0,125
698,1,204
699,0,125
700,0,130
701,0,128
702,0,125
703,0,125
704,0,136
705,1,204
706,1,204
707,0,125
708,0,133
709,1,204
710,1,204
711,0,137
712,0,125
713,0,125
714,1,209
715,3,364
716,0,125
717,0,136
718,0,125
719,1,204
720,1,204
721,0,125
722,0,125
723,0,125
724,1,207
725,0,67
726,0,125
727,0,129
728,0,125
729,0,143
730,0,125
731,0,135
732,0,125
733,0,126
734,0,125
735,0,125
736,1,204
737,0,125
738,0,135
739,0,125
740,0,125
741,2,286
742,2,284
743,0,125
744,0,125
745,1,204
746,0,126
747,0,125
748,0,62
749,0,125
750,1,213
751,2,296
752,2,286
753,0,49
754,0,125
755,1,204
756,1,204
757,0,125
758,0,132
759,0,130
760,0,125
761,0,125
762,1,205
763,0,141
764,0,125
765,0,129
766,1,204
767,0,125
768,1,186
769,0,135
770,0,131
771,0,125
772,0,125
773,0,125
774,0,140
775,0,142
776,0,137
777,0,125
778,0,131
779,2,286
780,1,204
781,0,125
782,0,125
783,0,125
784,1,204
785,0,135
786,0,129
787,1,206
788,1,204
789,2,284
790,1,214
791,0,130
792,0,142
793,0,137
794,5,524
795,0,125
796,0,129
797,2,284
798,0,130
799,0,125
800,1,204
801,0,125
802,0,125
803,0,125
804,1,207
805,0,125
806,1,207
807,0,125
808,1,204
809,0,125
810,1,213
811,0,143
812,1,205
813,0,138
814,0,135
815,3,371
816,0,125
817,4,455
818,0,139
819,1,204
820,3,364
821,1,204
822,1,204
823,0,125
824,1,204
825,0,125
826,1,204
827,2,284
828,0,125
829,3,364
830,1,213
831,0,139
832,1,204
833,0,125
834,0,125
835,0,125
836,0,125
837,0,125
838,4,444
839,0,125
840,2,284
841,2,287
842,2,302
843,0,137
844,0,137
845,5,530
846,0,142
847,1,204
848,0,125
849,1,204
850,1,221
851,0,139
852,0,125
853,3,379
854,0,125
855,2,284
856,2,287
857,1,204
858,1,217
859,1,204
860,1,214
861,0,130
862,3,371
863,1,215
864,1,221
865,1,219
866,0,125
867,0,125
868,0,143
869,1,218
870,0,125
871,2,284
872,1,221
873,0,138
874,7,684
875,0,136
876,0,125
877,0,138
878,2,301
879,2,298
880,1,204
881,4,457
882,5,524
883,0,139
884,0,142
885,0,125
886,0,125
887,2,284
888,0,138
889,0,139
890,1,204
891,0,134
892,1,217
893,0,125
894,0,125
895,0,143
896,0,133
897,0,125
898,4,450
899,1,204
900,2,294
901,0,139
902,1,215
903,0,125
904,1,204
905,1,204
906,0,130
907,1,204
908,2,284
909,0,125
910,2,287
911,2,297
912,1,219
913,0,126
914,2,284
915,8,776
916,8,764
917,4,457
918,9,859
919,1,216
920,1,212
921,0,141
922,6,622
923,0,139
924,1,221
925,1,204
926,5,535
927,8,774
928,0,125
929,0,125
930,2,284
931,1,207
932,11,1015
933,3,381
934,0,75
935,9,851
936,11,1021
937,0,125
938,14,1244
939,3,382
940,1,204
941,4,444
942,1,219
943,2,302
944,0,134
945,1,217
946,9,844
947,3,381
948,6,622
949,5,542
950,3,368
951,0,137
952,1,165
953,4,462
954,2,298
955,3,331
956,0,129
957,1,216
958,0,115
959,13,1123
960,8,729
961,1,167
962,2,253
963,3,368
964,0,142
965,8,764
966,0,139
967,2,292
968,10,930
969,5,524
970,14,1244
971,19,1644
972,0,142
973,10,924
974,8,764
975,6,604
976,8,764
977,12,1102
978,1,204
979,5,516
980,6,610
981,0,115
982,9,844
983,3,364
984,0,138
985,7,684
986,0,142
987,13,1164
988,4,444
989,1,204
990,1,204
991,25,2124
992,13,1164
993,25,2124
994,1,204
995,18,1564
996,14,1244
997,2,284
998,0,125
999,0,143
1000,19,1652
1001,0,138
1002,0,120
1003,16,1421
1004,13,1164
1005,19,1648
1006,42,3484
1007,6,604
1008,14,1244
1009,4,444
1010,1,204
1011,3,364
1012,32,2684
1013,21,1804
1014,3,364
1015,12,1074
1016,1,204
1017,24,2044
1018,37,3084
1019,0,125
1020,0,125
1021,1,204
1022,11,1004
1023,13,1164
1024,4,444
1025,7,684
1026,26,2204
1027,2,284
1028,3,364
1029,6,604
1030,6,604
1031,12,1099
1032,22,1884
1033,58,4764
1034,12,1099
1035,0,125
1036,8,764
1037,0,125
1038,24,2044
1039,21,1804
1040,7,684
1041,2,284
1042,2,295
1043,44,3644
1044,5,524
1045,6,620
1046,4,444
1047,35,2924
1048,4,444
1049,11,1016
1050,4,431
1051,31,2604
1052,11,1004
1053,2,284
